"n2","n1","location","n11","n5","activity","n8","softwareAgent","n3","entity","n3_time","n4","n3_alternate","n4_time","n6","n9","n12","n7","n10"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/2002/07/owl#NamedIndividual","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/2002/07/owl#NamedIndividual","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/ns/prov#Entity","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
"http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#b5d01533c01307b2b83bcfaaf1c861f3_addC_location","http://www.w3.org/ns/prov#Location","http://doi.org/10.1610/b5d01533c01307b2b83bcfaaf1c861f3_addC","http://doi.org/10.1610/history-iao-extracted#contodiff","http://www.w3.org/ns/prov#Activity","https://github.com/dbs-leipzig/conto_diff","http://www.w3.org/ns/prov#SoftwareAgent","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6","http://www.w3.org/2002/07/owl#NamedIndividual","2023-11-30T10:58:44Z","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#OpenEnergyPlatform_ontology_master_src_ontology_imports_iao-extracted","2023-11-27T16:11:51Z","http://doi.org/10.1610/history-iao-extracted#9d784dbb4810548940b76aff4a8790d6ad379bf6_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/9d784dbb4810548940b76aff4a8790d6ad379bf6/src/ontology/imports/iao-extracted.owl","https://github.com/OpenEnergyPlatform/ontology/commit/42c6448efab195d6e354b00ca0db71fa8910c0a8","http://doi.org/10.1610/history-iao-extracted#42c6448efab195d6e354b00ca0db71fa8910c0a8_iao-extracted","https://raw.githubusercontent.com/OpenEnergyPlatform/ontology/42c6448efab195d6e354b00ca0db71fa8910c0a8/src/ontology/imports/iao-extracted.owl"
